Model,MAE,MSE,RMSE,MAPE,R2 Score
LSTM Train Relative Humidity,1.423075438752196,3.424628397615373,1.850575153193021,1.8795822228131462,0.9484699158173371
LSTM Test Relative Humidity,2.024471929442252,6.542919561789833,2.557913126317982,2.4354794663573207,0.8418579384428425
Conv1d Train Relative Humidity,1.3795363512878465,3.5356681896317848,1.8803372542264285,1.8234938737873772,0.946799109771865
Conv1d Test Relative Humidity,2.0136084029059798,6.4269968120227645,2.535152226597599,2.4204647808702604,0.8446597859142065
GRU Train Relative Humidity,1.3993799331934396,3.299770731980425,1.816527107416904,1.8481583506287618,0.95034863819945
GRU Test Relative Humidity,194.00652073243552,37659.23397718647,194.05987214565116,69.62896292147826,-431.8669238914131
