Model,MAE,MSE,RMSE,MAPE,R2 Score
LSTM Train Temperature,0.3778210138908951,0.23197048655172672,0.4816331451963483,1.4861289952988512,0.6862173491676429
LSTM Test Temperature,0.3826111251304863,0.24326265548353743,0.49321664153142425,1.4581074493468265,0.8733553777759319
Conv1d Train Temperature,0.3705702078586197,0.23253674131613222,0.4822206355146285,1.458312634384758,0.685451385688138
Conv1d Test Temperature,0.38021502885396674,0.23773743268059624,0.4875832571782959,1.4492668329214917,0.876231856096007
GRU Train Temperature,0.37525463202453374,0.22986445390155283,0.47944181492810245,1.4753795428089038,0.6890661447947699
GRU Test Temperature,115.16558589790135,13342.859903266604,115.51129772999091,81.39962250762423,-128.38649134871667
